
time,gFx,gFy,gFz,wx,wy,wz,Bx,By,Bz,
0.127937,-0.0628,1.0240,-0.0731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.160188,-0.0628,1.0240,-0.0731,0.0000,0.0000,0.0000,10.3337,-40.6691,15.2199,
0.178529,-0.0648,1.0252,-0.0727,0.0000,0.0000,0.0000,10.3337,-40.6691,15.2199,
0.180020,-0.0648,1.0252,-0.0727,0.0000,0.0000,0.0000,12.7664,-41.9114,14.0952,
0.188470,-0.0648,1.0252,-0.0727,0.0039,-0.0027,-0.0047,12.7664,-41.9114,14.0952,
0.199825,-0.0648,1.0252,-0.0727,0.0039,-0.0027,-0.0047,13.1930,-41.4842,12.6156,
0.222212,-0.0648,1.0252,-0.0727,0.0039,-0.0027,-0.0047,11.6027,-40.9997,14.0619,
0.229653,-0.0648,1.0252,-0.0727,0.0039,-0.0027,-0.0047,11.6027,-40.9997,14.0619,
0.240739,-0.0648,1.0252,-0.0727,0.0039,-0.0027,-0.0047,11.8133,-41.7299,14.6688,
0.251487,-0.0709,1.0265,-0.0645,0.0039,-0.0027,-0.0047,11.8133,-41.7299,14.6688,
0.259430,-0.0709,1.0265,-0.0645,0.0039,-0.0027,-0.0047,12.4613,-42.1778,13.9465,
0.268983,-0.0709,1.0265,-0.0645,0.0077,-0.0022,0.0006,12.4613,-42.1778,13.9465,
0.280793,-0.0709,1.0265,-0.0645,0.0077,-0.0022,0.0006,13.3280,-42.8219,16.0423,
0.288094,-0.0709,1.0265,-0.0645,0.0077,-0.0022,0.0006,13.3280,-42.8219,16.0423,
0.305694,-0.0709,1.0265,-0.0645,0.0077,-0.0022,0.0006,10.5362,-41.7980,14.0574,
0.312081,-0.0587,1.0237,-0.0750,0.0077,-0.0022,0.0006,10.5362,-41.7980,14.0574,
0.319452,-0.0587,1.0237,-0.0750,0.0077,-0.0022,0.0006,12.7070,-41.0468,13.4886,
0.329975,-0.0587,1.0237,-0.0750,0.0116,-0.0034,0.0008,12.7070,-41.0468,13.4886,
0.341327,-0.0587,1.0237,-0.0750,0.0116,-0.0034,0.0008,11.8916,-40.5836,13.7640,
0.347633,-0.0587,1.0237,-0.0750,0.0116,-0.0034,0.0008,11.8916,-40.5836,13.7640,
0.357729,-0.0587,1.0237,-0.0750,0.0116,-0.0034,0.0008,12.0239,-39.7559,14.9367,
0.365693,-0.0696,1.0244,-0.0789,0.0116,-0.0034,0.0008,12.0239,-39.7559,14.9367,
0.379023,-0.0696,1.0244,-0.0789,0.0116,-0.0034,0.0008,11.6162,-41.0117,14.8022,
0.385982,-0.0696,1.0244,-0.0789,0.0015,-0.0014,0.0002,11.6162,-41.0117,14.8022,
0.400672,-0.0696,1.0244,-0.0789,0.0015,-0.0014,0.0002,13.9193,-42.4076,14.8616,
0.405889,-0.0696,1.0244,-0.0789,0.0015,-0.0014,0.0002,13.9193,-42.4076,14.8616,
0.423032,-0.0696,1.0244,-0.0789,0.0015,-0.0014,0.0002,11.9051,-40.5956,14.5042,
0.442944,-0.0696,1.0244,-0.0789,0.0015,-0.0014,0.0002,11.9510,-41.3129,14.8123,
0.447741,-0.0640,1.0250,-0.0767,0.0015,-0.0014,0.0002,11.9510,-41.3129,14.8123,
0.459154,-0.0640,1.0250,-0.0767,0.0015,-0.0014,0.0002,12.1157,-41.4611,14.6694,
0.464424,-0.0640,1.0250,-0.0767,0.0015,-0.0014,0.0002,12.1157,-41.4611,14.6694,
0.466336,-0.0640,1.0250,-0.0767,-0.0055,-0.0034,-0.0058,12.1157,-41.4611,14.6694,
0.478846,-0.0640,1.0250,-0.0767,-0.0055,-0.0034,-0.0058,11.4272,-40.4360,14.9379,
0.499126,-0.0640,1.0250,-0.0767,-0.0055,-0.0034,-0.0058,11.5757,-40.2992,14.7902,
0.504323,-0.0651,1.0241,-0.0641,-0.0055,-0.0034,-0.0058,11.5757,-40.2992,14.7902,
0.519464,-0.0651,1.0241,-0.0641,-0.0055,-0.0034,-0.0058,12.2885,-41.3459,15.8541,
0.526477,-0.0651,1.0241,-0.0641,0.0057,-0.0030,0.0047,12.2885,-41.3459,15.8541,
0.530225,-0.0651,1.0241,-0.0641,0.0057,-0.0030,0.0047,12.2885,-41.3459,15.8541,
0.543124,-0.0651,1.0241,-0.0641,0.0057,-0.0030,0.0047,11.1653,-41.5526,14.5075,
0.559634,-0.0651,1.0241,-0.0641,0.0057,-0.0030,0.0047,12.3857,-40.7576,14.2187,
0.563562,-0.0663,1.0239,-0.0817,0.0057,-0.0030,0.0047,12.3857,-40.7576,14.2187,
0.579115,-0.0663,1.0239,-0.0817,0.0057,-0.0030,0.0047,11.7917,-41.1695,15.2514,
0.584159,-0.0663,1.0239,-0.0817,0.0057,-0.0030,0.0047,11.7917,-41.1695,15.2514,
0.599150,-0.0663,1.0239,-0.0817,0.0057,-0.0030,0.0047,13.1660,-40.5131,14.2274,
0.605168,-0.0663,1.0239,-0.0817,-0.0011,-0.0021,-0.0079,13.1660,-40.5131,14.2274,
0.619286,-0.0663,1.0239,-0.0817,-0.0011,-0.0021,-0.0079,12.8825,-41.2046,13.9378,
